afname zonder batterij;injectie zonder batterij;timestamp
0,0135;0;24/05/2023 0:05
0,0135;0;24/05/2023 0:10
0,0135;0;24/05/2023 0:15
0,013;0;24/05/2023 0:20
0,013;0;24/05/2023 0:25
0,013;0;24/05/2023 0:30
0,009083333;0;24/05/2023 0:35
0,009083333;0;24/05/2023 0:40
0,009083333;0;24/05/2023 0:45
0,009166667;0;24/05/2023 0:50
0,009166667;0;24/05/2023 0:55
0,009166667;0;24/05/2023 1:00
0,01;0;24/05/2023 1:05
0,011;0;24/05/2023 1:11
0,01;0;24/05/2023 1:16
0,016166667;0;24/05/2023 1:21
0,016166667;0;24/05/2023 1:26
0,016166667;0;24/05/2023 1:31
0,015416667;0;24/05/2023 1:36
0,015416667;0;24/05/2023 1:41
0,015416667;0;24/05/2023 1:46
0,00925;0;24/05/2023 1:51
0,00925;0;24/05/2023 1:56
0,00925;0;24/05/2023 2:01
0,0095;0;24/05/2023 2:06
0,0095;0;24/05/2023 2:11
0,0095;0;24/05/2023 2:16
0,007333333;0;24/05/2023 2:22
0,007333333;0;24/05/2023 2:27
0,007333333;0;24/05/2023 2:32
0,015;0;24/05/2023 2:37
0,015;0;24/05/2023 2:42
0,015;0;24/05/2023 2:47
0,014666667;0;24/05/2023 2:52
0,014666667;0;24/05/2023 2:57
0,014666667;0;24/05/2023 3:02
0,009416667;0;24/05/2023 3:07
0,009416667;0;24/05/2023 3:12
0,009416667;0;24/05/2023 3:17
0,009416667;0;24/05/2023 3:22
0,009416667;0;24/05/2023 3:28
0,009416667;0;24/05/2023 3:33
0,01025;0;24/05/2023 3:38
0,00925;0;24/05/2023 3:43
0,00925;0;24/05/2023 3:48
0,014666667;0;24/05/2023 3:53
0,014666667;0;24/05/2023 3:58
0,014666667;0;24/05/2023 4:03
0,014833333;0;24/05/2023 4:08
0,014833333;0;24/05/2023 4:13
0,014833333;0;24/05/2023 4:18
0,008916667;0;24/05/2023 4:23
0,008916667;0;24/05/2023 4:28
0,008916667;0;24/05/2023 4:33
0,008916667;0;24/05/2023 4:38
0,008916667;0;24/05/2023 4:43
0,008916667;0;24/05/2023 4:48
0,01;0;24/05/2023 4:54
0,009;0;24/05/2023 4:59
0,009;0;24/05/2023 5:04
0,0155;0;24/05/2023 5:09
0,0155;0;24/05/2023 5:14
0,0155;0;24/05/2023 5:19
0,016083333;0;24/05/2023 5:24
0,016083333;0;24/05/2023 5:29
0,016083333;0;24/05/2023 5:34
0,013416667;0;24/05/2023 5:39
0,013416667;0;24/05/2023 5:44
0,013416667;0;24/05/2023 5:49
0,009666667;0;24/05/2023 5:54
0,008666667;0;24/05/2023 5:59
0,008666667;0;24/05/2023 6:04
0,01825;0;24/05/2023 6:09
0,01725;0;24/05/2023 6:14
0,01725;0;24/05/2023 6:20
0,030083333;0,001;24/05/2023 6:25
0,021083333;0,002;24/05/2023 6:30
0,017083333;0;24/05/2023 6:35
0,017416667;0;24/05/2023 6:40
0,021416667;0,003;24/05/2023 6:45
0,017416667;0;24/05/2023 6:50
0,0195;0;24/05/2023 6:55
0,0195;0;24/05/2023 7:00
0,0205;0;24/05/2023 7:05
0,008666667;0;24/05/2023 7:10
0,008666667;0;24/05/2023 7:15
0,033666667;0;24/05/2023 7:20
0,128;0;24/05/2023 7:26
0,132;0;24/05/2023 7:31
0,077;0,005;24/05/2023 7:36
0,036333333;0,004;24/05/2023 7:41
0,021333333;0,001;24/05/2023 7:46
0,018333333;0,002;24/05/2023 7:51
0,085333333;0;24/05/2023 7:56
0,085333333;0;24/05/2023 8:01
0,085333333;0;24/05/2023 8:06
0,019833333;0;24/05/2023 8:11
0,018833333;0;24/05/2023 8:16
0,017833333;0;24/05/2023 8:21
0,02175;0;24/05/2023 8:26
0,02275;0;24/05/2023 8:31
0,02475;0,001;24/05/2023 8:36
0;0,002;24/05/2023 8:41
0;0;24/05/2023 8:46
0;0;24/05/2023 8:52
0;0,001166667;24/05/2023 8:57
0;0,012166667;24/05/2023 9:02
0;0,015166667;24/05/2023 9:07
0;0,102083333;24/05/2023 9:12
