24/05/2023 5:41;0
24/05/2023 6:00;20
24/05/2023 7:00;164
24/05/2023 8:00;412
24/05/2023 9:00;720
24/05/2023 10:00;722
24/05/2023 11:00;531
24/05/2023 12:00;399
24/05/2023 13:00;359
24/05/2023 14:00;394
24/05/2023 15:00;474
24/05/2023 16:00;789
24/05/2023 17:00;1064
24/05/2023 18:00;893
24/05/2023 19:00;540
24/05/2023 20:00;260
24/05/2023 21:00;117
24/05/2023 21:36;22
25/05/2023 5:39;0
25/05/2023 6:00;20
25/05/2023 7:00;158
25/05/2023 8:00;412
25/05/2023 9:00;826
25/05/2023 10:00;1211
25/05/2023 11:00;1699
25/05/2023 12:00;2183
25/05/2023 13:00;2379
25/05/2023 14:00;2381
25/05/2023 15:00;2328
25/05/2023 16:00;2074
25/05/2023 17:00;1641
25/05/2023 18:00;1217
25/05/2023 19:00;746
25/05/2023 20:00;322
25/05/2023 21:00;118
25/05/2023 21:38;24
26/05/2023 5:38;0
26/05/2023 6:00;22
26/05/2023 7:00;161
26/05/2023 8:00;416
26/05/2023 9:00;912
26/05/2023 10:00;1463
26/05/2023 11:00;1957
26/05/2023 12:00;2333
26/05/2023 13:00;2532
26/05/2023 14:00;2543
26/05/2023 15:00;2452
26/05/2023 16:00;2209
26/05/2023 17:00;1789
26/05/2023 18:00;1285
26/05/2023 19:00;749
26/05/2023 20:00;319
26/05/2023 21:00;116
26/05/2023 21:39;24
27/05/2023 5:37;0
27/05/2023 6:00;22
27/05/2023 7:00;159
27/05/2023 8:00;388
27/05/2023 9:00;734
27/05/2023 10:00;1021
27/05/2023 11:00;1562
27/05/2023 12:00;2127
27/05/2023 13:00;2426
27/05/2023 14:00;2546
27/05/2023 15:00;2465
27/05/2023 16:00;2224
27/05/2023 17:00;1793
27/05/2023 18:00;1268
27/05/2023 19:00;729
27/05/2023 20:00;309
27/05/2023 21:00;110
27/05/2023 21:40;23
28/05/2023 5:36;0
28/05/2023 6:00;22
28/05/2023 7:00;144
28/05/2023 8:00;331
28/05/2023 9:00;667
28/05/2023 10:00;1135
28/05/2023 11:00;1600
28/05/2023 12:00;1896
28/05/2023 13:00;1862
28/05/2023 14:00;1405
28/05/2023 15:00;1027
28/05/2023 16:00;860
28/05/2023 17:00;667
28/05/2023 18:00;483
28/05/2023 19:00;309
28/05/2023 20:00;162
28/05/2023 21:00;78
28/05/2023 21:41;18
29/05/2023 5:35;0
29/05/2023 6:00;24
29/05/2023 7:00;158
29/05/2023 8:00;408
29/05/2023 9:00;722
29/05/2023 10:00;584
29/05/2023 11:00;616
29/05/2023 12:00;1225
29/05/2023 13:00;1849
29/05/2023 14:00;2305
29/05/2023 15:00;2461
29/05/2023 16:00;2253
29/05/2023 17:00;1812
29/05/2023 18:00;1288
29/05/2023 19:00;745
29/05/2023 20:00;317
29/05/2023 21:00;111
29/05/2023 21:42;24
30/05/2023 5:35;0
30/05/2023 6:00;24
30/05/2023 7:00;147
30/05/2023 8:00;219
30/05/2023 9:00;292
30/05/2023 10:00;357
30/05/2023 11:00;1096
30/05/2023 12:00;1937
30/05/2023 13:00;2053
30/05/2023 14:00;2013
30/05/2023 15:00;1974
30/05/2023 16:00;1850
30/05/2023 17:00;1554
30/05/2023 18:00;1134
30/05/2023 19:00;667
30/05/2023 20:00;287
30/05/2023 21:00;100
30/05/2023 21:44;21
