"Time","afname","injectie","batterij","voertuig","prijs"
"Wed May 24 06:14:00 CEST 2023","0.0","0.0","1.9558334","60.0","88.6"
"Wed May 24 06:20:00 CEST 2023","0.0","0.0","1.9385835","60.0","88.6"
"Wed May 24 06:25:00 CEST 2023","0.0","0.001","1.9085002","60.0","88.6"
"Wed May 24 06:30:00 CEST 2023","0.0","0.002","1.8874168","60.0","88.6"
"Wed May 24 06:35:00 CEST 2023","0.0","0.0","1.8703336","60.0","88.6"
"Wed May 24 06:40:00 CEST 2023","0.0","0.0","1.8529168","60.0","88.6"
"Wed May 24 06:45:00 CEST 2023","0.0","0.003","1.8315002","60.0","88.6"
"Wed May 24 06:50:00 CEST 2023","0.0","0.0","1.8140835","60.0","88.6"
"Wed May 24 06:55:00 CEST 2023","0.0","0.0","1.7945834","60.0","88.6"
"Wed May 24 07:00:00 CEST 2023","0.0","0.0","1.7750834","60.0","106.86"
"Wed May 24 07:05:00 CEST 2023","0.0","0.0","1.7545835","60.0","106.86"
"Wed May 24 07:10:00 CEST 2023","0.0","0.0","1.7459168","60.0","106.86"
"Wed May 24 07:15:00 CEST 2023","0.0","0.0","1.7372502","60.0","106.86"
"Wed May 24 07:20:00 CEST 2023","0.0","0.0","1.7035836","60.0","106.86"
"Wed May 24 07:26:00 CEST 2023","0.04466667","0.0","1.6202502","60.0","106.86"
"Wed May 24 07:31:00 CEST 2023","0.048666663","0.0","1.5369169","60.0","106.86"
"Wed May 24 07:36:00 CEST 2023","0.0","0.005","1.4599168","60.0","106.86"
"Wed May 24 07:41:00 CEST 2023","0.0","0.004","1.4235835","60.0","106.86"
"Wed May 24 07:46:00 CEST 2023","0.0","0.001","1.4022502","60.0","106.86"
"Wed May 24 07:51:00 CEST 2023","0.0","0.002","1.3839169","60.0","106.86"
"Wed May 24 07:56:00 CEST 2023","0.0019999966","0.0","1.3005835","60.0","106.86"
"Wed May 24 08:01:00 CEST 2023","0.0019999966","0.0","1.2172501","60.0","109.66"
"Wed May 24 08:06:00 CEST 2023","0.0019999966","0.0","1.1339167","60.0","109.66"
"Wed May 24 08:11:00 CEST 2023","0.0","0.0","1.1140834","60.0","109.66"
"Wed May 24 08:16:00 CEST 2023","0.0","0.0","1.0952501","60.0","109.66"
"Wed May 24 08:21:00 CEST 2023","0.0","0.0","1.0774168","60.0","109.66"
"Wed May 24 08:26:00 CEST 2023","0.0","0.0","1.0556668","60.0","109.66"
"Wed May 24 08:31:00 CEST 2023","0.0","0.0","1.0329168","60.0","109.66"
"Wed May 24 08:36:00 CEST 2023","0.0","0.001","1.0081668","60.0","109.66"
"Wed May 24 08:41:00 CEST 2023","0.0","0.0","1.0101668","60.0","109.66"
"Wed May 24 08:46:00 CEST 2023","0.0","0.0","1.0101668","60.0","109.66"
"Wed May 24 08:52:00 CEST 2023","0.0","0.0","1.0101668","60.0","109.66"
"Wed May 24 08:57:00 CEST 2023","0.0","0.0","1.0113335","60.0","109.66"
"Wed May 24 09:02:00 CEST 2023","0.0","0.0","1.0235001","60.0","98.66"
"Wed May 24 09:07:00 CEST 2023","0.0","0.0","1.0386667","60.0","98.66"
"Wed May 24 09:12:00 CEST 2023","0.0","0.018749997","1.1220001","60.0","98.66"
"Wed May 24 09:17:00 CEST 2023","0.0","0.0","1.2010834","60.0","98.66"
"Wed May 24 09:22:00 CEST 2023","0.0","0.0","1.2771667","60.0","98.66"
"Wed May 24 09:27:00 CEST 2023","0.0","0.0","1.3605001","60.0","98.66"
"Wed May 24 09:32:00 CEST 2023","0.0","0.0","1.4438335","60.0","98.66"
"Wed May 24 09:37:00 CEST 2023","0.0","9.999946E-4","1.5271668","60.0","98.66"
"Wed May 24 09:42:00 CEST 2023","0.0","0.00683333","1.6105002","60.0","98.66"
"Wed May 24 09:48:00 CEST 2023","0.0","0.0028333291","1.6938336","60.0","98.66"
"Wed May 24 09:53:00 CEST 2023","0.001","8.3333254E-4","1.777167","60.0","98.66"
"Wed May 24 09:58:00 CEST 2023","0.001","0.0","1.8240837","60.0","98.66"
"Wed May 24 10:03:00 CEST 2023","0.0","0.0","1.8690003","60.0","85.92"
"Wed May 24 10:08:00 CEST 2023","0.0","0.0","1.912917","60.0","85.92"
"Wed May 24 10:13:00 CEST 2023","0.0","0.0","1.9752504","60.0","85.92"
"Wed May 24 10:18:00 CEST 2023","0.0","0.037999995","2.0585837","60.0","85.92"
"Wed May 24 10:23:00 CEST 2023","0.0","0.037999995","2.141917","60.0","85.92"
"Wed May 24 10:28:00 CEST 2023","0.0","0.029999994","2.2252502","60.0","85.92"
"Wed May 24 10:33:00 CEST 2023","0.0","0.04299999","2.3085835","60.0","85.92"
"Wed May 24 10:38:00 CEST 2023","0.0","0.07399999","2.3919168","60.0","85.92"
"Wed May 24 10:43:00 CEST 2023","0.0","0.06691667","2.47525","60.0","85.92"
"Wed May 24 10:48:00 CEST 2023","0.0","0.029916666","2.5585833","60.0","85.92"
"Wed May 24 10:53:00 CEST 2023","0.0","0.042916663","2.6419165","60.0","85.92"
"Wed May 24 10:59:00 CEST 2023","0.0","0.09508333","2.7252498","60.0","85.92"
"Wed May 24 11:04:00 CEST 2023","0.0","0.106083326","2.808583","60.0","81.0"
"Wed May 24 11:09:00 CEST 2023","0.0","0.12408333","2.8919163","60.0","81.0"
"Wed May 24 11:14:00 CEST 2023","0.0","0.12183333","2.9752495","60.0","81.0"
"Wed May 24 11:19:00 CEST 2023","0.0","0.110833324","3.0585828","60.0","81.0"
"Wed May 24 11:24:00 CEST 2023","0.0","0.09883333","3.141916","60.0","81.0"
"Wed May 24 11:29:00 CEST 2023","0.0","0.06983333","3.2252493","60.0","81.0"
"Wed May 24 11:34:00 CEST 2023","0.0","0.14883333","3.3085825","60.0","81.0"
"Wed May 24 11:39:00 CEST 2023","0.0","0.13483334","3.3919158","60.0","81.0"
"Wed May 24 11:44:00 CEST 2023","0.0","0.066999994","3.475249","60.0","81.0"
"Wed May 24 11:49:00 CEST 2023","0.0","0.036","3.5585823","60.0","81.0"
"Wed May 24 11:54:00 CEST 2023","0.0","0.022999994","3.6419156","60.0","81.0"
"Wed May 24 11:59:00 CEST 2023","0.0","0.04191666","3.7252488","60.0","81.0"
"Wed May 24 12:04:00 CEST 2023","0.0","0.026916668","3.808582","60.0","80.58"
"Wed May 24 12:09:00 CEST 2023","0.0","0.017916664","3.8919153","60.0","80.58"
"Wed May 24 12:14:00 CEST 2023","0.0","0.024916664","3.9752486","60.0","80.58"
"Wed May 24 12:19:00 CEST 2023","0.0","0.10849849","4.0","60.0","80.58"
"Wed May 24 12:25:00 CEST 2023","0.0","0.23125","4.0","60.0","80.58"
"Wed May 24 12:30:00 CEST 2023","0.0","0.30816665","4.0","60.0","80.58"
"Wed May 24 12:35:00 CEST 2023","0.0","0.18116666","4.0","60.0","80.58"
"Wed May 24 12:40:00 CEST 2023","0.0","0.29516667","4.0","60.0","80.58"
"Wed May 24 12:45:00 CEST 2023","0.0","0.34325","4.0","60.0","80.58"
"Wed May 24 12:50:00 CEST 2023","0.0","0.23325","4.0","60.0","80.58"
"Wed May 24 12:55:00 CEST 2023","0.0","0.15025","4.0","60.0","80.58"
"Wed May 24 13:00:00 CEST 2023","0.0","0.08025","4.0","60.0","76.75"
"Wed May 24 13:05:00 CEST 2023","0.0","0.17525","4.0","60.0","76.75"
"Wed May 24 13:10:00 CEST 2023","0.0","0.12125","4.0","60.0","76.75"
"Wed May 24 13:15:00 CEST 2023","0.0","0.266","4.0","60.0","76.75"
"Wed May 24 13:20:00 CEST 2023","0.0","0.271","4.0","60.0","76.75"
"Wed May 24 13:25:00 CEST 2023","0.0","0.087","4.0","60.0","76.75"
"Wed May 24 13:30:00 CEST 2023","0.0","0.103","4.0","60.0","76.75"
"Wed May 24 13:35:00 CEST 2023","0.0","0.093","4.0","60.0","76.75"
"Wed May 24 13:41:00 CEST 2023","0.0","0.061","4.0","60.0","76.75"
"Wed May 24 13:46:00 CEST 2023","0.0","0.054","4.0","60.0","76.75"
"Wed May 24 13:51:00 CEST 2023","0.0","0.092","4.0","60.0","76.75"
"Wed May 24 13:56:00 CEST 2023","0.0","0.155","4.0","60.0","76.75"
"Wed May 24 14:01:00 CEST 2023","0.0","0.16","4.0","60.0","75.21"
"Wed May 24 14:06:00 CEST 2023","0.0","0.166","4.0","60.0","75.21"
"Wed May 24 14:11:00 CEST 2023","0.0","0.113","4.0","60.0","75.21"
"Wed May 24 14:16:00 CEST 2023","0.0","0.076","4.0","60.0","75.21"
"Wed May 24 14:21:00 CEST 2023","0.0","0.074","4.0","60.0","75.21"
"Wed May 24 14:26:00 CEST 2023","0.0","0.062","4.0","60.0","75.21"
"Wed May 24 14:31:00 CEST 2023","0.0","0.058","4.0","60.0","75.21"
"Wed May 24 14:36:00 CEST 2023","0.0","0.052","4.0","60.0","75.21"
"Wed May 24 14:41:00 CEST 2023","0.0","0.043","4.0","60.0","75.21"
"Wed May 24 14:46:00 CEST 2023","0.0","0.028","4.0","60.0","75.21"
"Wed May 24 14:52:00 CEST 2023","0.0","0.026","4.0","60.0","75.21"
"Wed May 24 14:57:00 CEST 2023","0.0","0.023","4.0","60.0","75.21"
"Wed May 24 15:02:00 CEST 2023","0.0","0.027","4.0","60.0","73.6"
"Wed May 24 15:07:00 CEST 2023","0.0","0.03","4.0","60.0","73.6"
"Wed May 24 15:12:00 CEST 2023","0.0","0.04","4.0","60.0","73.6"
"Wed May 24 15:17:00 CEST 2023","0.0","0.047","4.0","60.0","73.6"
"Wed May 24 15:22:00 CEST 2023","0.0","0.021","4.0","60.0","73.6"
"Wed May 24 15:27:00 CEST 2023","0.0","0.017","4.0","60.0","73.6"
"Wed May 24 15:32:00 CEST 2023","0.0","0.028","4.0","60.0","73.6"
"Wed May 24 15:37:00 CEST 2023","0.041","0.018","4.0","60.0","73.6"
"Wed May 24 15:42:00 CEST 2023","0.082","0.0","4.0","60.0","73.6"
"Wed May 24 15:47:00 CEST 2023","0.034","0.003","4.0","60.0","73.6"
"Wed May 24 15:52:00 CEST 2023","0.012","0.014333333","4.0","60.0","73.6"
"Wed May 24 15:57:00 CEST 2023","0.079","0.014333333","4.0","60.0","73.6"
"Wed May 24 16:02:00 CEST 2023","0.048","0.019333333","4.0","60.0","76.75"
"Wed May 24 16:08:00 CEST 2023","0.064833336","0.008","4.0","60.0","76.75"
"Wed May 24 16:13:00 CEST 2023","0.07783333","0.0","4.0","60.0","76.75"
"Wed May 24 16:18:00 CEST 2023","0.093833335","0.002","4.0","60.0","76.75"
"Wed May 24 16:23:00 CEST 2023","0.11016667","0.011","4.0","60.0","76.75"
"Wed May 24 16:28:00 CEST 2023","0.08716667","0.006","4.0","60.0","76.75"
"Wed May 24 16:33:00 CEST 2023","0.08316667","0.009","4.0","60.0","76.75"
"Wed May 24 16:38:00 CEST 2023","0.0","0.028583333","4.0","60.0","76.75"
"Wed May 24 16:43:00 CEST 2023","0.0","0.024583332","4.0","60.0","76.75"
"Wed May 24 16:48:00 CEST 2023","0.0","0.029583333","4.0","60.0","76.75"
"Wed May 24 16:53:00 CEST 2023","0.0","0.004833333","4.0","60.0","76.75"
"Wed May 24 16:58:00 CEST 2023","0.0","0.003833333","4.0","60.0","76.75"
"Wed May 24 17:03:00 CEST 2023","0.0","0.004833333","4.0","60.0","77.77"
"Wed May 24 17:08:00 CEST 2023","0.0","0.009833333","4.0","60.0","77.77"
"Wed May 24 17:13:00 CEST 2023","0.004","0.012833333","4.0","60.0","77.77"
"Wed May 24 17:18:00 CEST 2023","0.0","0.009833333","4.0","60.0","77.77"
"Wed May 24 17:23:00 CEST 2023","0.084","0.005583333","4.0","60.0","77.77"
"Wed May 24 17:28:00 CEST 2023","0.098","0.004583333","4.0","60.0","77.77"
"Wed May 24 17:34:00 CEST 2023","0.06","0.003583333","4.0","60.0","77.77"
"Wed May 24 17:39:00 CEST 2023","0.11733333","0.003","4.0","60.0","77.77"
"Wed May 24 17:44:00 CEST 2023","0.12933333","0.007","4.0","60.0","77.77"
"Wed May 24 17:49:00 CEST 2023","0.13733333","0.002","4.0","60.0","77.77"
"Wed May 24 17:54:00 CEST 2023","0.0325","0.005","4.0","60.0","77.77"
"Wed May 24 17:59:00 CEST 2023","0.0375","0.008","4.0","60.0","77.77"
"Wed May 24 18:04:00 CEST 2023","0.0","0.007","3.9675","30.0","90.21"
"Wed May 24 18:09:00 CEST 2023","0.012","0.0","3.9978333","30.0","90.21"
"Wed May 24 18:14:00 CEST 2023","0.0","0.025166512","4.0","30.0","90.21"
"Wed May 24 18:19:00 CEST 2023","0.0","0.027333332","4.0","30.0","90.21"
"Wed May 24 18:24:00 CEST 2023","0.0","0.015166667","3.997","30.0","90.21"
"Wed May 24 18:29:00 CEST 2023","0.007","0.017166615","4.0","30.0","90.21"
"Wed May 24 18:34:00 CEST 2023","0.0","0.015166667","4.0","30.0","90.21"
"Wed May 24 18:39:00 CEST 2023","0.0","0.019666666","4.0","30.0","90.21"
"Wed May 24 18:44:00 CEST 2023","0.0","0.019666666","4.0","30.0","90.21"
"Wed May 24 18:49:00 CEST 2023","0.0","0.021666666","4.0","30.0","90.21"
"Wed May 24 18:55:00 CEST 2023","0.0","0.006","4.0","30.0","90.21"
"Wed May 24 19:00:00 CEST 2023","0.0","0.01","3.993","30.0","115.14"
"Wed May 24 19:05:00 CEST 2023","0.001","0.0","3.9980001","30.0","115.14"
"Wed May 24 19:10:00 CEST 2023","0.009","0.012666702","4.0","30.0","115.14"
"Wed May 24 19:15:00 CEST 2023","0.0","0.008666667","4.0","30.0","115.14"
"Wed May 24 19:20:00 CEST 2023","0.0","0.008666667","4.0","30.0","115.14"
"Wed May 24 19:25:00 CEST 2023","0.0","0.004","3.9878333","30.0","115.14"
"Wed May 24 19:30:00 CEST 2023","0.0","0.0","3.9806666","30.0","115.14"
"Wed May 24 19:35:00 CEST 2023","0.0","0.003","3.9685","30.0","115.14"
"Wed May 24 19:40:00 CEST 2023","0.0","0.0","3.9715","30.0","115.14"
"Wed May 24 19:45:00 CEST 2023","0.001","0.0","3.9745","30.0","115.14"
"Wed May 24 19:50:00 CEST 2023","0.005","0.0","3.9795","30.0","115.14"
"Wed May 24 19:55:00 CEST 2023","0.0","0.003","3.9624166","30.0","115.14"
"Wed May 24 20:00:00 CEST 2023","0.0","0.002","3.9563334","30.0","120.65"
"Wed May 24 20:05:00 CEST 2023","0.0","0.002","3.9472501","30.0","120.65"
